"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.687383750E0,1.658172230E-3,1.305909362E-3,-6.867023767E-4,2.219570805E-3
1.697432750E0,1.155633712E-3,1.089128200E-3,5.019427044E-5,1.588775937E-3
1.707481750E0,8.203274338E-4,1.658196561E-4,-7.909358828E-4,1.151526304E-3
1.717530750E0,-1.051210274E-4,-4.648170434E-4,-6.102316547E-6,4.765947466E-4
1.727579750E0,-4.353875993E-4,-1.440958120E-3,2.791475272E-3,3.171475502E-3
1.737627750E0,-2.260631300E-4,-1.403141301E-3,1.682002563E-3,2.202054194E-3
1.747676750E0,-1.096621156E-3,-2.631562296E-3,1.849241788E-3,3.398145563E-3
1.757725750E0,-1.232708804E-3,3.402591683E-4,3.618663177E-4,1.329020139E-3
1.767774750E0,6.353270728E-4,-2.423594706E-4,8.814444300E-6,6.800413935E-4
1.777823750E0,-1.121027628E-3,-1.417878550E-3,8.519712137E-4,1.998233588E-3
1.787872750E0,-1.395693631E-3,-5.306513049E-4,1.181960572E-3,1.904358766E-3
1.797921750E0,-1.503285253E-3,-1.335740089E-4,5.611777888E-4,1.610164302E-3
1.807970750E0,1.325309742E-3,-3.851591609E-4,-1.370842219E-4,1.386933876E-3
1.818019750E0,6.195721216E-4,-1.003012527E-3,-2.068941249E-3,2.381264713E-3
1.828068750E0,-1.146245166E-3,4.493650049E-4,-5.188790383E-4,1.336054768E-3
1.838117750E0,-6.628814153E-4,-7.144361734E-4,1.514444361E-3,1.800936572E-3
1.848166750E0,1.796536526E-4,1.241766382E-3,7.874150760E-4,1.481310799E-3
1.858215750E0,-8.017211221E-4,4.750424996E-4,-1.899714465E-3,2.115971924E-3
1.868264750E0,1.079931622E-3,-2.818740904E-4,2.564722672E-3,2.797053395E-3
1.878313750E0,-2.159625292E-4,-5.404669791E-4,-1.308845123E-3,1.432417511E-3
1.888362750E0,-3.775072051E-3,6.833015941E-4,4.309471697E-4,3.860542128E-3
1.898411750E0,8.944110596E-5,1.461422071E-4,5.342778750E-4,5.610794095E-4
1.908460750E0,-7.547360728E-4,5.079666153E-4,3.712265752E-4,9.825811885E-4
1.918509750E0,-1.089194848E-4,-2.235355787E-3,-2.074087970E-3,3.051314447E-3
